"","Sport","Association","Divison","Conference","School","Facet_Type","Facet_Value","Variable","Value_Type","Period","Source","Value","NA.","NA..1"
"1","Football","NCAA",1,"Big Ten",NA,NA,NA,"Teams","Teams",2011,"USA Today","11",NA,NA
"2","Football","NCAA",1,"ACC",NA,NA,NA,"Teams","Teams",2011,"USA Today","12",NA,NA
"3","Football","NCAA",1,"SEC",NA,NA,NA,"Teams","Teams",2011,"USA Today","12",NA,NA
"4","Football","NCAA",1,"Big 12",NA,NA,NA,"Teams","Teams",2011,"USA Today","12",NA,NA
"5","Football","NCAA",1,"Big East",NA,NA,NA,"Teams","Teams",2011,"USA Today","16",NA,NA
"6","Football","NCAA",1,"Pac-12",NA,NA,NA,"Teams","Teams",2011,"USA Today","10",NA,NA
"7","Football","NCAA",1,"Big Ten",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","222",NA,NA
"8","Football","NCAA",1,"ACC",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","172.7",NA,NA
"9","Football","NCAA",1,"SEC",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","148",NA,NA
"10","Football","NCAA",1,"Big 12",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","144",NA,NA
"11","Football","NCAA",1,"Big East",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","103.1",NA,NA
"12","Football","NCAA",1,"Pac-12",NA,NA,NA,"Total Revenue","Dollars_Millions",2011,"USA Today","96.8",NA,NA
"13","Football","NCAA",1,"Big Ten",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","142.08",NA,NA
"14","Football","NCAA",1,"Pac-12",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","59.048",NA,NA
"15","Football","NCAA",1,"ACC",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","88.077",NA,NA
"16","Football","NCAA",1,"Big East",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","50.519",NA,NA
"17","Football","NCAA",1,"Big 12",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","106.56",NA,NA
"18","Football","NCAA",1,"SEC",NA,NA,NA,"Total Media Revenue","Dollars_Millions",2011,"USA Today","65.12",NA,NA
"19",NA,"NCAA",1,"ACC","North Carolina",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","72.2",NA,NA
"20",NA,"NCAA",1,"ACC","Virginia",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","67.7",NA,NA
"21",NA,"NCAA",1,"ACC","Clemson",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","62.5",NA,NA
"22",NA,"NCAA",1,"ACC","Maryland",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","62.1",NA,NA
"23",NA,"NCAA",1,"ACC","Georgia Tech",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","58.9",NA,NA
"24",NA,"NCAA",1,"ACC","Florida State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","57.9",NA,NA
"25",NA,"NCAA",1,"ACC","North Carolina State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","56.6",NA,NA
"26",NA,"NCAA",1,"ACC","Virginia Tech",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","49",NA,NA
"27",NA,"NCAA",1,"ACC","Boston College",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"28",NA,"NCAA",1,"ACC","Duke",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"29",NA,"NCAA",1,"ACC","Miami",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"30",NA,"NCAA",1,"ACC","Wake Forest",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"31",NA,"NCAA",1,"Big 12","Texas",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","153.5",NA,NA
"32",NA,"NCAA",1,"Big 12","Oklahoma",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","90.5",NA,NA
"33",NA,"NCAA",1,"Big 12","Texas A&M",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","75.8",NA,NA
"34",NA,"NCAA",1,"Big 12","Kansas",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","67.2",NA,NA
"35",NA,"NCAA",1,"Big 12","Oklahoma State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","57.8",NA,NA
"36",NA,"NCAA",1,"Big 12","Missouri",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","56.4",NA,NA
"37",NA,"NCAA",1,"Big 12","Texas Tech",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","54",NA,NA
"38",NA,"NCAA",1,"Big 12","Kansas State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","51.5",NA,NA
"39",NA,"NCAA",1,"Big 12","Iowa State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","47",NA,NA
"40",NA,"NCAA",1,"Big 12","Baylor",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"41",NA,"NCAA",1,"Big East","Louisville",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","68.8",NA,NA
"42",NA,"NCAA",1,"Big East","Connecticut",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","64",NA,NA
"43",NA,"NCAA",1,"Big East","Rutgers",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","62",NA,NA
"44",NA,"NCAA",1,"Big East","West Virginia",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","58",NA,NA
"45",NA,"NCAA",1,"Big East","South Florida",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","40.4",NA,NA
"46",NA,"NCAA",1,"Big East","Cincinnati",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"47",NA,"NCAA",1,"Big East","Pittsburgh",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"48",NA,"NCAA",1,"Big East","Syracuse",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"49",NA,"NCAA",1,"Big East","TCU",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","NA",NA,NA
"50",NA,"NCAA",1,"Big Ten","Ohio State",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","126.5",NA,NA
"51",NA,"NCAA",1,"Big Ten","Michigan",NA,NA,"Athletic Department Budget","Dollars_Millions",2011,"Sports Business Journal","109.8",NA,NA
